code,year,quarter,statDate,roeAvg,npMargin,gpMargin
000001,2020,1,2020-03-31,0.025695,0.225386,
000001,2020,2,2020-06-30,0.041175,0.174625,
000001,2020,3,2020-09-30,0.066685,0.192152,
000001,2020,4,2020-12-31,0.085445,0.188404,
000001,2021,1,2021-03-31,0.027505,0.242462,
000001,2021,2,2021-06-30,0.047437,0.207641,
000001,2021,3,2021-09-30,0.077385,0.229067,
000001,2021,4,2021-12-31,0.095674,0.21452,
000001,2022,1,2022-03-31,0.03206,0.278096,
000001,2022,2,2022-06-30,0.054704,0.24003,
000001,2022,3,2022-09-30,0.089322,0.265136,
000001,2022,4,2022-12-31,0.10966,0.253014,
000001,2023,1,2023-03-31,0.033133,0.323784,
000001,2023,2,2023-06-30,0.057258,0.286503,
000001,2023,3,2023-09-30,0.088025,0.310536,
000001,2023,4,2023-12-31,0.102436,0.28206,
000001,2024,1,2024-03-31,0.031176,0.385143,
000001,2024,2,2024-06-30,0.054242,0.335516,
000001,2024,3,2024-09-30,0.082528,0.356052,
000001,2024,4,2024-12-31,0.092038,0.303405,
600036,2020,1,2020-03-31,0.044354,0.36492,
600036,2020,2,2020-06-30,0.080056,0.33756,
600036,2020,3,2020-09-30,0.116541,0.348056,
600036,2020,4,2020-12-31,0.145825,0.337229,
600036,2021,1,2021-03-31,0.043297,0.380515,
600036,2021,2,2021-06-30,0.082712,0.365324,
600036,2021,3,2021-09-30,0.123771,0.375307,
600036,2021,4,2021-12-31,0.151561,0.364779,
600036,2022,1,2022-03-31,0.041115,0.394706,
600036,2022,2,2022-06-30,0.079484,0.390874,
600036,2022,3,2022-09-30,0.12025,0.407725,
600036,2022,4,2022-12-31,0.152986,0.404005,
600036,2023,1,2023-03-31,0.040319,0.432786,
600036,2023,2,2023-06-30,0.0788,0.428314,
600036,2023,3,2023-09-30,0.116349,0.441718,
600036,2023,4,2023-12-31,0.145016,0.436438,
600036,2024,1,2024-03-31,0.034689,0.444843,
600036,2024,2,2024-06-30,0.068365,0.435855,
600036,2024,3,2024-09-30,0.101561,0.451266,
600036,2024,4,2024-12-31,0.128902,0.443154,
600519,2020,1,2020-03-31,0.091849,0.568024,0.916722
600519,2020,2,2020-06-30,0.165436,0.544392,0.914628
600519,2020,3,2020-09-30,0.237832,0.533374,0.91325
600519,2020,4,2020-12-31,0.314108,0.521763,0.914092
600519,2021,1,2021-03-31,0.082915,0.541678,0.916763
600519,2021,2,2021-06-30,0.152628,0.533879,0.913784
600519,2021,3,2021-09-30,0.22204,0.530196,0.911914
600519,2021,4,2021-12-31,0.299036,0.524724,0.915403
600519,2022,1,2022-03-31,0.087025,0.555866,0.923677
600519,2022,2,2022-06-30,0.156135,0.539866,0.921091
600519,2022,3,2022-09-30,0.224101,0.531366,0.918744
600519,2022,4,2022-12-31,0.324077,0.526795,0.918667
600519,2023,1,2023-03-31,0.100028,0.555393,0.925956
600519,2023,2,2023-06-30,0.180614,0.536564,0.917981
600519,2023,3,2023-09-30,0.254632,0.530919,0.917075
600519,2023,4,2023-12-31,0.361755,0.52488,0.919649
600519,2024,1,2024-03-31,0.105688,0.543573,0.926133
600519,2024,2,2024-06-30,0.192038,0.526991,0.917603
600519,2024,3,2024-09-30,0.26833,0.521887,0.915314
600519,2024,4,2024-12-31,0.384283,0.522734,0.919312
000858,2020,1,2020-03-31,0.098592,0.398281,0.765316
000858,2020,2,2020-06-30,0.143878,0.369577,0.745393
000858,2020,3,2020-09-30,0.188184,0.358341,0.745307
000858,2020,4,2020-12-31,0.24944,0.364846,0.741597
000858,2021,1,2021-03-31,0.103174,0.402183,0.764319
000858,2021,2,2021-06-30,0.151209,0.376666,0.749551
000858,2021,3,2021-09-30,0.193901,0.365452,0.752586
000858,2021,4,2021-12-31,0.253034,0.370153,0.753526
000858,2022,1,2022-03-31,0.103588,0.412767,0.784081
000858,2022,2,2022-06-30,0.149864,0.384491,0.769196
000858,2022,3,2022-09-30,0.193702,0.375759,0.759727
000858,2022,4,2022-12-31,0.250507,0.378142,0.754241
000858,2023,1,2023-03-31,0.104259,0.420904,0.783946
