date,cpi
2020-01,4.5
2020-02,5.4
2020-03,5.2
2020-04,4.3
2020-05,3.3
2020-06,2.4
2020-07,2.5
2020-08,2.7
2020-09,2.4
2020-10,1.7
2020-11,0.5
2020-12,-0.5
2021-01,0.2
2021-02,-0.3
2021-03,-0.2
2021-04,0.4
2021-05,0.9
2021-06,1.3
2021-07,1.1
2021-08,1.0
2021-09,0.8
2021-10,0.7
2021-11,1.5
2021-12,2.3
2022-01,1.5
2022-02,0.9
2022-03,0.9
2022-04,1.5
2022-05,2.1
2022-06,2.1
2022-07,2.5
2022-08,2.7
2022-09,2.5
2022-10,2.8
2022-11,2.1
2022-12,1.6
2023-01,1.8
2023-02,2.1
2023-03,1.0
2023-04,0.7
2023-05,0.1
2023-06,0.2
2023-07,0.0
2023-08,-0.3
2023-09,0.1
2023-10,0.0
2023-11,-0.2
2023-12,-0.5
2024-01,-0.3
2024-02,-0.8
2024-03,0.7
2024-04,0.1
2024-05,0.3
2024-06,0.3
2024-07,0.2
2024-08,0.5
2024-09,0.6
2024-10,0.4
2024-11,0.3
2024-12,0.2
2025-01,0.1
2025-02,0.5
2025-03,-0.7
2025-04,-0.1
2025-05,-0.1
2025-06,-0.1
2025-07,0.1
2025-08,0.0
